Province,Gender,Age,Income,BMI,PhysicalActivity,Smoking,SelfRatedHealth,StressLevel,BMI_Category,IncomeBracket,SelfRatedHealth_num
Alberta,Female,63,76228.0,31.1,1.3,Yes,Very Good,4,Obese,50-80k,4
Quebec,Male,46,69391.0,31.0,0.0,No,Fair,5,Obese,50-80k,2
Nova Scotia,Female,30,93931.0,27.3,3.8,No,Good,1,Overweight,80-110k,3
Nova Scotia,Male,76,73283.0,19.5,4.5,No,Fair,3,Normal,50-80k,2
Quebec,Female,70,71866.0,28.7,4.6,No,Very Good,5,Overweight,50-80k,4
British Columbia,Female,56,80094.0,30.6,4.6,Yes,Poor,7,Obese,80-110k,1
British Columbia,Female,23,111932.0,22.0,0.0,No,Excellent,1,Normal,>110k,5
Nova Scotia,Male,20,51193.0,27.2,0.8,No,Fair,4,Overweight,50-80k,2
New Brunswick,Male,37,93397.0,26.6,7.4,Yes,Very Good,7,Overweight,80-110k,4
New Brunswick,Male,27,40137.0,36.4,1.4,No,Fair,2,Obese,<50k,2
Prince Edward Island,Male,72,78130.0,36.8,4.7,No,Fair,6,Obese,50-80k,2
New Brunswick,Female,30,109502.0,18.9,2.1,No,Good,5,Normal,80-110k,3
Alberta,Female,35,87773.0,39.7,3.7,No,Very Good,9,Obese,80-110k,4
Quebec,Female,79,81413.0,22.6,2.2,No,Excellent,5,Normal,80-110k,5
Nova Scotia,Female,69,78130.0,32.1,4.6,No,Poor,5,Obese,50-80k,1
Prince Edward Island,Female,31,78621.0,32.1,3.8,No,Poor,7,Obese,50-80k,1
Prince Edward Island,Male,42,72959.0,22.2,2.6,No,Good,2,Normal,50-80k,3
British Columbia,Female,50,62280.0,29.7,3.5,No,Good,5,Overweight,50-80k,3
British Columbia,Female,59,72202.0,26.7,4.0,No,Excellent,4,Overweight,50-80k,5
Ontario,Male,76,81968.0,30.0,1.1,Yes,Excellent,5,Obese,80-110k,5
Quebec,Female,72,62656.0,28.4,4.4,No,Excellent,7,Overweight,50-80k,5
Manitoba,Female,79,61874.0,33.2,8.8,No,Fair,6,Obese,50-80k,2
Manitoba,Male,20,50795.0,27.6,6.2,Yes,Good,4,Overweight,50-80k,3
Alberta,Female,32,85815.0,26.4,4.9,No,Very Good,5,Overweight,80-110k,4
Alberta,Female,53,88906.0,32.7,3.3,No,Good,8,Obese,80-110k,3
Newfoundland and Labrador,Male,21,82633.0,30.1,0.0,Yes,Very Good,3,Obese,80-110k,4
Saskatchewan,Female,40,97303.0,30.9,3.5,No,Fair,6,Obese,80-110k,2
Newfoundland and Labrador,Female,27,79757.0,27.3,6.1,Yes,Good,5,Overweight,50-80k,3
Prince Edward Island,Male,76,85840.0,22.0,1.9,No,Excellent,5,Normal,80-110k,5
Alberta,Male,21,84077.0,24.4,2.1,No,Good,2,Normal,80-110k,3
British Columbia,Male,27,76169.0,24.1,3.2,No,Excellent,8,Normal,50-80k,5
Prince Edward Island,Male,30,67384.0,31.1,1.4,No,Good,4,Obese,50-80k,3
Nova Scotia,Male,27,122283.0,32.1,1.0,No,Poor,7,Obese,>110k,1
British Columbia,Male,53,68961.0,26.4,3.4,No,Good,4,Overweight,50-80k,3
Nova Scotia,Male,40,64682.0,34.4,1.7,No,Fair,4,Obese,50-80k,2
Manitoba,Male,75,86680.0,34.0,2.0,Yes,Good,8,Obese,80-110k,3
Prince Edward Island,Male,34,83037.0,28.4,1.9,Yes,Fair,7,Overweight,80-110k,2
British Columbia,Male,51,49904.0,23.1,4.5,Yes,Very Good,6,Normal,<50k,4
Prince Edward Island,Male,59,100454.0,35.1,3.0,No,Excellent,7,Obese,80-110k,5
Prince Edward Island,Male,57,76116.0,26.9,3.1,No,Good,5,Overweight,50-80k,3
Quebec,Male,68,55781.0,27.8,4.7,No,Fair,5,Overweight,50-80k,2
Quebec,Male,30,101776.0,25.5,3.2,Yes,Good,4,Overweight,80-110k,3
Manitoba,Male,49,90514.0,22.8,2.9,No,Very Good,7,Normal,80-110k,4
Ontario,Male,68,52709.0,19.9,4.4,Yes,Very Good,4,Normal,50-80k,4
British Columbia,Male,72,113544.0,30.4,4.8,No,Fair,8,Obese,>110k,2
Saskatchewan,Female,56,91176.0,23.3,3.2,No,Good,5,Normal,80-110k,3
Prince Edward Island,Male,59,77796.0,42.5,3.7,No,Good,5,Obese,50-80k,3
Prince Edward Island,Male,72,109804.0,27.3,1.9,Yes,Good,7,Overweight,80-110k,3
Quebec,Male,57,81186.0,20.9,1.8,No,Fair,5,Normal,80-110k,2
Newfoundland and Labrador,Female,77,77438.0,29.8,5.0,No,Excellent,5,Overweight,50-80k,5
Ontario,Male,26,64794.0,34.8,4.4,Yes,Fair,5,Obese,50-80k,2
New Brunswick,Female,39,89637.0,27.5,4.4,No,Fair,7,Overweight,80-110k,2
Newfoundland and Labrador,Female,25,87532.0,30.1,4.1,No,Fair,4,Obese,80-110k,2
Newfoundland and Labrador,Female,23,78294.0,18.0,3.6,No,Very Good,5,Underweight,50-80k,4
British Columbia,Female,47,62200.0,23.8,4.9,Yes,Good,5,Normal,50-80k,3
Newfoundland and Labrador,Female,32,80599.0,21.8,5.4,No,Fair,7,Normal,80-110k,2
Quebec,Male,43,76604.0,17.7,5.3,Yes,Good,5,Underweight,50-80k,3
Manitoba,Male,45,51331.0,27.8,3.3,No,Very Good,9,Overweight,50-80k,4
Saskatchewan,Female,57,48564.0,27.3,6.3,No,Good,5,Overweight,<50k,3
Alberta,Female,77,89303.0,20.6,4.0,Yes,Excellent,5,Normal,80-110k,5
Ontario,Male,71,25962.0,24.5,4.8,Yes,Good,5,Normal,<50k,3
New Brunswick,Male,41,82108.0,23.0,4.1,Yes,Fair,2,Normal,80-110k,2
Alberta,Female,38,68438.0,29.2,4.0,Yes,Excellent,3,Overweight,50-80k,5
Nova Scotia,Male,66,104165.0,28.7,2.0,No,Very Good,4,Overweight,80-110k,4
Saskatchewan,Male,25,68131.0,31.7,4.9,No,Good,8,Obese,50-80k,3
Alberta,Female,52,200000.0,31.0,9.2,Yes,Very Good,5,Obese,>110k,4
Newfoundland and Labrador,Female,44,70062.0,32.9,2.8,No,Good,4,Obese,50-80k,3
Ontario,Female,29,80275.0,27.2,3.6,No,Good,8,Overweight,80-110k,3
New Brunswick,Female,56,92737.0,28.7,2.6,No,Very Good,8,Overweight,80-110k,4
New Brunswick,Male,38,68749.0,29.8,2.5,No,Very Good,8,Overweight,50-80k,4
Alberta,Male,29,97931.0,27.9,6.6,No,Good,3,Overweight,80-110k,3
British Columbia,Male,59,58126.0,25.2,2.2,No,Very Good,4,Overweight,50-80k,4
Ontario,Male,28,83892.0,25.5,2.6,No,Good,9,Overweight,80-110k,3
Prince Edward Island,Female,60,96453.0,23.1,0.3,No,Poor,6,Normal,80-110k,1
Prince Edward Island,Male,28,91201.0,29.3,2.0,No,Excellent,5,Overweight,80-110k,5
British Columbia,Female,45,116329.0,26.7,0.1,No,Good,7,Overweight,>110k,3
Ontario,Female,68,62731.0,23.9,4.8,No,Very Good,7,Normal,50-80k,4
Quebec,Male,32,50417.0,23.9,3.5,No,Very Good,4,Normal,50-80k,4
Ontario,Male,66,58113.0,21.1,2.8,No,Good,6,Normal,50-80k,3
Newfoundland and Labrador,Female,63,91209.0,32.1,0.2,No,Good,7,Obese,80-110k,3
Newfoundland and Labrador,Male,74,87958.0,27.6,5.3,No,Excellent,3,Overweight,80-110k,5
Quebec,Male,28,80045.0,22.9,2.0,No,Very Good,5,Normal,80-110k,4
New Brunswick,Male,63,55541.0,31.2,6.1,No,Very Good,3,Obese,50-80k,4
Quebec,Male,77,93337.0,24.4,2.9,No,Good,3,Normal,80-110k,3
Alberta,Male,66,53506.0,20.2,2.2,No,Good,4,Normal,50-80k,3
Manitoba,Male,29,101179.0,32.3,3.1,No,Poor,6,Obese,80-110k,1
New Brunswick,Female,69,135149.0,24.5,5.0,No,Good,5,Normal,>110k,3
Newfoundland and Labrador,Male,24,85329.0,27.3,3.0,No,Fair,4,Overweight,80-110k,2
Ontario,Male,55,89662.0,27.4,2.5,Yes,Very Good,5,Overweight,80-110k,4
Quebec,Female,49,68143.0,32.9,3.1,No,Excellent,3,Obese,50-80k,5
British Columbia,Male,51,41796.0,27.3,1.0,Yes,Good,6,Overweight,<50k,3
Alberta,Female,50,65946.0,21.2,4.3,No,Good,8,Normal,50-80k,3
Prince Edward Island,Male,19,56142.0,29.9,0.0,Yes,Very Good,5,Overweight,50-80k,4
New Brunswick,Male,50,49060.0,24.8,2.6,No,Fair,5,Normal,<50k,2
Alberta,Male,77,112447.0,36.6,5.0,No,Excellent,6,Obese,>110k,5
Prince Edward Island,Male,45,83457.0,27.2,4.1,No,Good,1,Overweight,80-110k,3
Saskatchewan,Male,35,85594.0,16.0,4.7,No,Fair,6,Underweight,80-110k,2
Manitoba,Male,80,71820.0,29.0,3.4,No,Fair,10,Overweight,50-80k,2
Saskatchewan,Male,24,74543.0,36.9,5.8,No,Excellent,5,Obese,50-80k,5
Quebec,Female,48,97291.0,35.1,5.3,No,Fair,5,Obese,80-110k,2
Prince Edward Island,Male,50,78130.0,36.4,4.4,No,Very Good,7,Obese,50-80k,4
Ontario,Female,48,88614.0,22.1,5.4,No,Fair,9,Normal,80-110k,2
Quebec,Male,76,74080.0,31.8,5.0,No,Fair,7,Obese,50-80k,2
British Columbia,Female,44,71157.0,23.6,2.6,Yes,Excellent,1,Normal,50-80k,5
British Columbia,Female,79,49862.0,28.3,0.8,No,Fair,6,Overweight,<50k,2
Quebec,Female,22,38445.0,20.8,4.3,No,Poor,10,Normal,<50k,1
Ontario,Female,64,72769.0,24.0,4.6,No,Good,7,Normal,50-80k,3
Nova Scotia,Male,55,79130.0,23.8,5.7,No,Excellent,3,Normal,50-80k,5
Prince Edward Island,Female,33,52277.0,31.7,1.6,Yes,Good,6,Obese,50-80k,3
Quebec,Male,32,77311.0,31.2,1.7,No,Fair,3,Obese,50-80k,2
British Columbia,Female,63,79075.0,28.6,4.4,Yes,Excellent,8,Overweight,50-80k,5
Manitoba,Male,58,34880.0,20.4,3.4,No,Very Good,3,Normal,<50k,4
Prince Edward Island,Male,56,78130.0,25.6,0.0,No,Excellent,5,Overweight,50-80k,5
Nova Scotia,Female,21,86145.0,23.5,4.3,No,Very Good,3,Normal,80-110k,4
New Brunswick,Female,55,85741.0,31.5,0.0,No,Very Good,4,Obese,80-110k,4
Manitoba,Male,79,54927.0,33.1,1.6,No,Good,8,Obese,50-80k,3
Saskatchewan,Female,19,81169.0,32.5,6.2,No,Good,5,Obese,80-110k,3
Quebec,Male,47,98448.0,27.3,7.1,No,Very Good,4,Overweight,80-110k,4
Newfoundland and Labrador,Male,49,93541.0,13.5,1.1,No,Very Good,3,Underweight,80-110k,4
Newfoundland and Labrador,Male,74,76094.0,18.4,2.8,No,Excellent,1,Underweight,50-80k,5
Ontario,Male,35,68640.0,34.3,3.6,No,Good,3,Obese,50-80k,3
New Brunswick,Male,47,65413.0,25.2,7.1,Yes,Good,5,Overweight,50-80k,3
Ontario,Female,63,87356.0,23.4,2.5,Yes,Good,7,Normal,80-110k,3
New Brunswick,Female,21,81902.0,35.4,2.5,No,Very Good,4,Obese,80-110k,4
Newfoundland and Labrador,Male,68,90588.0,33.5,3.5,No,Good,8,Obese,80-110k,3
Quebec,Female,69,80637.0,27.3,3.5,No,Very Good,4,Overweight,80-110k,4
Saskatchewan,Female,63,94375.0,25.7,4.9,No,Very Good,5,Overweight,80-110k,4
Quebec,Female,58,79892.0,26.5,0.5,No,Poor,3,Overweight,50-80k,1
Manitoba,Female,65,93694.0,28.3,3.2,Yes,Good,7,Overweight,80-110k,3
Prince Edward Island,Female,67,95416.0,35.2,0.2,Yes,Very Good,10,Obese,80-110k,4
Ontario,Male,74,61909.0,29.3,3.5,No,Excellent,2,Overweight,50-80k,5
Alberta,Male,44,41837.0,30.8,5.2,No,Good,4,Obese,<50k,3
Prince Edward Island,Male,46,108870.0,33.0,3.4,No,Very Good,8,Obese,80-110k,4
Alberta,Male,58,83133.0,21.4,2.9,Yes,Good,2,Normal,80-110k,3
Quebec,Female,30,43710.0,31.0,2.0,No,Good,6,Obese,<50k,3
Saskatchewan,Male,71,63724.0,25.7,3.1,No,Poor,8,Overweight,50-80k,1
Manitoba,Male,66,93437.0,14.6,4.1,No,Excellent,5,Underweight,80-110k,5
Nova Scotia,Female,57,72406.0,16.6,5.5,No,Excellent,6,Underweight,50-80k,5
Alberta,Male,37,67759.0,22.1,3.5,Yes,Good,9,Normal,50-80k,3
Prince Edward Island,Female,39,106018.0,29.9,1.8,No,Good,9,Overweight,80-110k,3
Manitoba,Female,45,57054.0,27.8,3.8,No,Poor,5,Overweight,50-80k,1
British Columbia,Female,59,62037.0,28.1,3.3,No,Very Good,4,Overweight,50-80k,4
Prince Edward Island,Male,67,82228.0,37.0,4.3,Yes,Good,3,Obese,80-110k,3
Prince Edward Island,Female,60,85809.0,20.9,4.0,Yes,Very Good,7,Normal,80-110k,4
Saskatchewan,Female,76,87927.0,27.1,2.9,No,Poor,2,Overweight,80-110k,1
Ontario,Male,78,96225.0,28.7,2.4,No,Very Good,5,Overweight,80-110k,4
Manitoba,Male,62,78130.0,23.5,3.0,Yes,Good,5,Normal,50-80k,3
Manitoba,Female,41,87788.0,27.3,5.8,No,Very Good,4,Overweight,80-110k,4
Quebec,Male,55,72816.0,19.2,2.0,No,Very Good,6,Normal,50-80k,4
Nova Scotia,Female,44,79254.0,34.2,3.4,No,Fair,10,Obese,50-80k,2
Newfoundland and Labrador,Female,57,80151.0,23.8,3.9,No,Good,5,Normal,80-110k,3
Quebec,Male,69,82302.0,37.4,6.6,No,Very Good,4,Obese,80-110k,4
New Brunswick,Female,41,93451.0,27.0,2.9,No,Very Good,7,Overweight,80-110k,4
Quebec,Female,49,78130.0,32.3,5.4,No,Poor,6,Obese,50-80k,1
New Brunswick,Male,20,78884.0,26.9,6.0,No,Good,8,Overweight,50-80k,3
Saskatchewan,Male,64,61817.0,27.0,3.4,No,Good,6,Overweight,50-80k,3
Ontario,Female,48,79353.0,24.3,3.1,Yes,Very Good,5,Normal,50-80k,4
Prince Edward Island,Female,46,77440.0,27.8,2.8,No,Very Good,1,Overweight,50-80k,4
Quebec,Female,51,81864.0,28.8,3.0,Yes,Poor,2,Overweight,80-110k,1
Manitoba,Male,31,122131.0,23.3,5.2,Yes,Very Good,1,Normal,>110k,4
Quebec,Male,55,67525.0,26.6,4.0,No,Very Good,5,Overweight,50-80k,4
Prince Edward Island,Female,64,86446.0,24.1,4.0,Yes,Very Good,2,Normal,80-110k,4
New Brunswick,Male,40,99369.0,38.7,1.2,No,Poor,8,Obese,80-110k,1
Newfoundland and Labrador,Female,26,79960.0,26.8,1.6,No,Good,5,Overweight,50-80k,3
Saskatchewan,Male,42,124757.0,34.9,7.8,No,Good,5,Obese,>110k,3
Saskatchewan,Male,30,70439.0,26.2,3.1,No,Fair,3,Overweight,50-80k,2
Nova Scotia,Male,41,84482.0,28.5,2.0,No,Good,7,Overweight,80-110k,3
New Brunswick,Female,57,62024.0,27.3,6.4,No,Poor,4,Overweight,50-80k,1
Newfoundland and Labrador,Male,25,70970.0,25.0,4.1,No,Fair,3,Overweight,50-80k,2
Ontario,Male,65,82979.0,28.3,4.7,No,Very Good,8,Overweight,80-110k,4
Nova Scotia,Female,32,94926.0,35.1,3.2,No,Good,6,Obese,80-110k,3
Quebec,Female,74,84382.0,28.3,2.9,No,Very Good,5,Overweight,80-110k,4
British Columbia,Male,64,103182.0,34.1,3.2,Yes,Poor,7,Obese,80-110k,1
Newfoundland and Labrador,Female,35,76101.0,30.4,0.7,No,Good,5,Obese,50-80k,3
British Columbia,Male,53,71357.0,27.3,3.3,No,Good,6,Overweight,50-80k,3
New Brunswick,Male,24,132080.0,26.9,4.1,Yes,Very Good,3,Overweight,>110k,4
Saskatchewan,Female,24,85885.0,39.2,7.2,No,Very Good,10,Obese,80-110k,4
British Columbia,Female,78,63610.0,24.8,3.7,No,Good,5,Normal,50-80k,3
Alberta,Male,68,64115.0,23.4,0.0,No,Very Good,8,Normal,50-80k,4
Manitoba,Male,27,59146.0,21.1,3.3,No,Fair,5,Normal,50-80k,2
New Brunswick,Female,35,96731.0,38.9,9.0,No,Very Good,7,Obese,80-110k,4
Nova Scotia,Female,30,70712.0,31.3,5.2,No,Fair,7,Obese,50-80k,2
Prince Edward Island,Female,42,80547.0,25.5,1.9,No,Good,8,Overweight,80-110k,3
Newfoundland and Labrador,Male,36,76730.0,27.3,4.7,No,Fair,3,Overweight,50-80k,2
New Brunswick,Male,38,92630.0,30.6,2.0,No,Excellent,7,Obese,80-110k,5
Nova Scotia,Female,51,61065.0,37.0,0.8,No,Good,9,Obese,50-80k,3
British Columbia,Male,29,56489.0,19.5,2.8,Yes,Very Good,5,Normal,50-80k,4
Saskatchewan,Male,73,78130.0,25.9,3.7,No,Good,5,Overweight,50-80k,3
Quebec,Male,63,90019.0,24.9,0.0,Yes,Good,4,Normal,80-110k,3
Alberta,Male,65,84651.0,17.3,1.2,No,Fair,4,Underweight,80-110k,2
Prince Edward Island,Male,28,61811.0,32.5,3.5,No,Excellent,9,Obese,50-80k,5
Saskatchewan,Male,62,91550.0,25.8,2.7,No,Very Good,3,Overweight,80-110k,4
Quebec,Male,70,63123.0,30.9,4.3,No,Fair,3,Obese,50-80k,2
Nova Scotia,Male,29,67569.0,39.0,1.1,No,Very Good,9,Obese,50-80k,4
Prince Edward Island,Male,65,59121.0,25.4,4.9,No,Good,7,Overweight,50-80k,3
Newfoundland and Labrador,Male,40,78130.0,25.1,1.1,No,Poor,10,Overweight,50-80k,1
British Columbia,Female,67,90668.0,27.8,3.5,No,Good,4,Overweight,80-110k,3
Saskatchewan,Female,48,90100.0,32.1,0.1,No,Fair,5,Obese,80-110k,2
Manitoba,Female,68,102944.0,24.4,1.3,No,Fair,4,Normal,80-110k,2
British Columbia,Female,27,134253.0,27.3,4.3,Yes,Very Good,6,Overweight,>110k,4
British Columbia,Female,42,43815.0,32.5,6.8,No,Good,1,Obese,<50k,3
British Columbia,Female,35,63232.0,29.1,4.1,No,Excellent,7,Overweight,50-80k,5
Prince Edward Island,Male,33,65676.0,17.0,4.6,No,Very Good,6,Underweight,50-80k,4
New Brunswick,Female,37,60984.0,21.1,3.5,No,Very Good,5,Normal,50-80k,4
Newfoundland and Labrador,Male,42,56448.0,34.7,1.4,No,Very Good,4,Obese,50-80k,4
Newfoundland and Labrador,Male,26,72007.0,29.2,2.5,No,Excellent,3,Overweight,50-80k,5
Prince Edward Island,Male,62,53668.0,23.4,1.1,No,Good,7,Normal,50-80k,3
Quebec,Female,52,250000.0,26.3,0.9,No,Good,3,Overweight,>110k,3
Newfoundland and Labrador,Male,70,79034.0,27.3,4.3,No,Good,6,Overweight,50-80k,3
Ontario,Male,62,87621.0,30.9,1.3,No,Excellent,10,Obese,80-110k,5
Saskatchewan,Female,27,88155.0,20.4,4.1,Yes,Fair,8,Normal,80-110k,2
Manitoba,Female,22,90060.0,23.0,0.9,No,Very Good,2,Normal,80-110k,4
Alberta,Male,44,70532.0,28.6,4.1,No,Very Good,4,Overweight,50-80k,4
Quebec,Female,48,120423.0,26.7,2.5,No,Good,6,Overweight,>110k,3
Quebec,Male,33,82689.0,30.1,6.3,No,Excellent,5,Obese,80-110k,5
Newfoundland and Labrador,Male,67,40750.0,21.1,4.1,No,Good,2,Normal,<50k,3
Alberta,Female,54,57952.0,29.0,6.0,No,Fair,6,Overweight,50-80k,2
Alberta,Male,65,43190.0,32.7,2.0,No,Very Good,5,Obese,<50k,4
Prince Edward Island,Male,24,78347.0,29.6,3.6,No,Good,9,Overweight,50-80k,3
Quebec,Male,69,75564.0,27.9,1.5,Yes,Poor,5,Overweight,50-80k,1
Prince Edward Island,Male,30,68631.0,26.7,2.7,Yes,Poor,8,Overweight,50-80k,1
Prince Edward Island,Female,46,78130.0,23.0,3.0,Yes,Fair,5,Normal,50-80k,2
Manitoba,Male,45,88980.0,26.8,2.0,Yes,Very Good,3,Overweight,80-110k,4
Quebec,Female,69,92522.0,33.5,1.1,Yes,Excellent,7,Obese,80-110k,5
Quebec,Female,35,59379.0,26.6,0.7,No,Good,7,Overweight,50-80k,3
British Columbia,Female,33,220000.0,22.8,0.0,No,Fair,3,Normal,>110k,2
Manitoba,Male,39,78736.0,24.7,1.4,No,Good,5,Normal,50-80k,3
Quebec,Male,40,81460.0,28.2,4.8,No,Excellent,2,Overweight,80-110k,5
Saskatchewan,Female,29,40874.0,27.3,0.3,No,Very Good,5,Overweight,<50k,4
Quebec,Male,29,74394.0,29.6,0.8,No,Good,7,Overweight,50-80k,3
Manitoba,Male,32,78281.0,29.8,7.1,Yes,Fair,4,Overweight,50-80k,2
Ontario,Female,47,73697.0,31.6,2.2,No,Excellent,5,Obese,50-80k,5
New Brunswick,Female,39,61732.0,34.3,4.1,Yes,Excellent,3,Obese,50-80k,5
Ontario,Female,42,67209.0,32.2,4.8,No,Poor,4,Obese,50-80k,1
Quebec,Male,63,74463.0,22.5,4.8,No,Very Good,9,Normal,50-80k,4
Quebec,Male,33,79816.0,22.7,0.5,No,Fair,5,Normal,50-80k,2
Newfoundland and Labrador,Male,75,90096.0,26.8,3.0,Yes,Poor,3,Overweight,80-110k,1
Ontario,Male,65,99617.0,24.9,0.3,Yes,Very Good,5,Normal,80-110k,4
Saskatchewan,Male,29,72113.0,21.5,8.4,Yes,Good,2,Normal,50-80k,3
Manitoba,Male,37,68877.0,25.0,0.3,No,Good,3,Overweight,50-80k,3
Manitoba,Male,29,86753.0,24.8,1.4,No,Excellent,8,Normal,80-110k,5
Nova Scotia,Female,35,90217.0,23.8,1.4,No,Very Good,5,Normal,80-110k,4
Newfoundland and Labrador,Male,41,69316.0,25.6,0.5,Yes,Poor,9,Overweight,50-80k,1
Alberta,Female,26,93808.0,33.1,6.2,No,Very Good,5,Obese,80-110k,4
Newfoundland and Labrador,Female,18,97592.0,28.2,8.3,No,Very Good,5,Overweight,80-110k,4
Alberta,Male,45,103834.0,27.3,2.5,No,Good,7,Overweight,80-110k,3
Prince Edward Island,Male,62,113566.0,28.1,0.9,No,Excellent,1,Overweight,>110k,5
Manitoba,Female,37,60672.0,25.7,0.0,No,Very Good,6,Overweight,50-80k,4
New Brunswick,Female,72,78278.0,27.2,3.0,No,Fair,5,Overweight,50-80k,2
Newfoundland and Labrador,Female,41,78226.0,28.5,2.9,Yes,Fair,8,Overweight,50-80k,2
New Brunswick,Female,74,76039.0,29.4,2.2,No,Very Good,7,Overweight,50-80k,4
Newfoundland and Labrador,Male,32,65015.0,37.6,3.9,No,Excellent,3,Obese,50-80k,5
Manitoba,Female,51,48289.0,23.0,4.3,No,Fair,8,Normal,<50k,2
Ontario,Female,66,79854.0,31.5,4.1,No,Fair,5,Obese,50-80k,2
Saskatchewan,Male,21,62633.0,27.3,2.9,No,Very Good,3,Overweight,50-80k,4
Quebec,Female,76,79720.0,19.3,1.3,No,Poor,6,Normal,50-80k,1
Newfoundland and Labrador,Female,40,62119.0,31.1,4.8,No,Poor,5,Obese,50-80k,1
British Columbia,Male,49,56007.0,33.5,3.5,No,Excellent,8,Obese,50-80k,5
British Columbia,Female,57,82686.0,22.9,5.3,No,Very Good,6,Normal,80-110k,4
British Columbia,Female,58,81018.0,27.2,5.1,No,Excellent,6,Overweight,80-110k,5
Nova Scotia,Male,19,89586.0,18.6,0.7,No,Very Good,7,Normal,80-110k,4
Manitoba,Female,72,121717.0,20.9,0.6,No,Good,7,Normal,>110k,3
Prince Edward Island,Female,57,83546.0,32.4,2.0,No,Excellent,7,Obese,80-110k,5
Saskatchewan,Male,80,87702.0,24.9,1.4,No,Good,8,Normal,80-110k,3
British Columbia,Male,47,56449.0,21.7,5.0,Yes,Good,6,Normal,50-80k,3
Ontario,Female,56,52262.0,27.3,4.2,No,Excellent,6,Overweight,50-80k,5
Ontario,Female,45,109657.0,24.6,5.7,No,Very Good,8,Normal,80-110k,4
Alberta,Male,74,59530.0,24.8,4.3,No,Excellent,5,Normal,50-80k,5
Prince Edward Island,Female,70,57121.0,30.9,3.9,No,Fair,5,Obese,50-80k,2
Manitoba,Male,75,77218.0,21.4,5.9,No,Excellent,9,Normal,50-80k,5
Newfoundland and Labrador,Male,49,76196.0,22.7,4.4,Yes,Very Good,9,Normal,50-80k,4
Quebec,Male,67,59950.0,28.0,3.6,No,Very Good,5,Overweight,50-80k,4
Ontario,Female,40,71901.0,32.0,6.5,No,Excellent,4,Obese,50-80k,5
Newfoundland and Labrador,Female,47,102588.0,33.4,3.7,No,Good,8,Obese,80-110k,3
Quebec,Female,65,61880.0,23.9,2.9,No,Very Good,7,Normal,50-80k,4
Ontario,Female,23,50127.0,31.9,1.8,No,Very Good,6,Obese,50-80k,4
Saskatchewan,Female,62,78130.0,23.3,4.9,No,Very Good,5,Normal,50-80k,4
Prince Edward Island,Male,18,87846.0,36.3,6.0,No,Excellent,6,Obese,80-110k,5
Nova Scotia,Male,54,65590.0,21.5,3.4,No,Very Good,5,Normal,50-80k,4
Ontario,Female,48,46357.0,33.8,6.1,No,Poor,4,Obese,<50k,1
Newfoundland and Labrador,Female,47,63108.0,23.9,0.0,No,Fair,5,Normal,50-80k,2
Newfoundland and Labrador,Female,49,76906.0,27.3,3.4,No,Excellent,6,Overweight,50-80k,5
Newfoundland and Labrador,Male,48,101313.0,30.2,3.4,No,Excellent,5,Obese,80-110k,5
Prince Edward Island,Male,43,57268.0,22.1,2.0,No,Excellent,7,Normal,50-80k,5
British Columbia,Male,46,76310.0,24.6,8.3,No,Poor,8,Normal,50-80k,1
Prince Edward Island,Male,53,91503.0,31.1,3.4,No,Good,7,Obese,80-110k,3
Alberta,Female,66,30375.0,32.5,2.7,Yes,Very Good,5,Obese,<50k,4
Newfoundland and Labrador,Male,52,98676.0,26.8,3.6,No,Very Good,5,Overweight,80-110k,4
Manitoba,Female,58,54351.0,27.4,0.0,No,Fair,5,Overweight,50-80k,2
New Brunswick,Female,70,84640.0,31.0,2.0,No,Very Good,3,Obese,80-110k,4
Nova Scotia,Male,80,82934.0,27.9,5.5,No,Fair,7,Overweight,80-110k,2
Nova Scotia,Male,24,78130.0,20.7,2.2,Yes,Good,6,Normal,50-80k,3
Nova Scotia,Female,62,78130.0,23.1,1.8,No,Fair,10,Normal,50-80k,2
New Brunswick,Female,32,78130.0,28.4,6.1,No,Poor,8,Overweight,50-80k,1
New Brunswick,Female,30,62304.0,33.3,6.2,Yes,Fair,7,Obese,50-80k,2
Quebec,Female,67,80764.0,35.3,4.5,No,Excellent,6,Obese,80-110k,5
Newfoundland and Labrador,Female,22,74100.0,31.1,2.6,No,Very Good,6,Obese,50-80k,4
Manitoba,Male,71,78130.0,28.6,3.0,No,Excellent,3,Overweight,50-80k,5
Alberta,Female,66,93787.0,30.9,1.9,No,Good,2,Obese,80-110k,3
Manitoba,Female,80,90169.0,23.9,1.5,Yes,Good,3,Normal,80-110k,3
Prince Edward Island,Male,60,73715.0,26.4,1.4,No,Good,5,Overweight,50-80k,3
Newfoundland and Labrador,Female,72,41073.0,23.1,2.3,No,Very Good,1,Normal,<50k,4
Newfoundland and Labrador,Male,25,68890.0,21.0,3.5,Yes,Good,4,Normal,50-80k,3
Saskatchewan,Female,74,86327.0,28.9,0.4,No,Very Good,5,Overweight,80-110k,4
New Brunswick,Female,28,56191.0,28.1,3.9,No,Very Good,5,Overweight,50-80k,4
Alberta,Female,37,90625.0,30.6,4.0,Yes,Excellent,4,Obese,80-110k,5
Nova Scotia,Male,26,96168.0,29.9,6.9,No,Fair,4,Overweight,80-110k,2
Nova Scotia,Male,43,80537.0,28.4,2.2,No,Good,9,Overweight,80-110k,3
